"AlbumId";"Title";"ArtistId";"Column1"
268;The Best of Beethoven;203;"Nicolaus Esterhazy Sinfonia"
269;Temple of the Dog;204;"Temple of the Dog"
270;Carry On;205;"Chris Cornell"
271;Revelations;8;"Audioslave"
272;Adorate Deum: Gregorian Chant from the Proper of the Mass;206;"Alberto Turco & Nova Schola Gregoriana"
273;Allegri: Miserere;207;"Richard Marlow & The Choir of Trinity College, Cambridge"
274;Pachelbel: Canon & Gigue;208;"English Concert & Trevor Pinnock"
275;Vivaldi: The Four Seasons;209;"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker"
276;Bach: Violin Concertos;210;"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer"
277;Bach: Goldberg Variations;211;"Wilhelm Kempff"
278;Bach: The Cello Suites;212;"Yo-Yo Ma"
279;Handel: The Messiah (Highlights);213;"Scholars Baroque Ensemble"
280;The World of Classical Favourites;214;"Academy of St. Martin in the Fields & Sir Neville Marriner"
281;Sir Neville Marriner: A Celebration;215;"Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner"
282;Mozart: Wind Concertos;216;"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer"
283;Haydn: Symphonies 99 - 104;217;"Royal Philharmonic Orchestra & Sir Thomas Beecham"
284;Beethoven: Symhonies Nos. 5 & 6;218;"Orchestre Révolutionnaire et Romantique & John Eliot Gardiner"
285;A Soprano Inspired;219;"Britten Sinfonia, Ivor Bolton & Lesley Garrett"
286;Great Opera Choruses;220;"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti"
287;Wagner: Favourite Overtures;221;"Sir Georg Solti & Wiener Philharmoniker"
288;Fauré: Requiem, Ravel: Pavane & Others;222;"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair"
289;Tchaikovsky: The Nutcracker;223;"London Symphony Orchestra & Sir Charles Mackerras"
290;The Last Night of the Proms;224;"Barry Wordsworth & BBC Concert Orchestra"
291;Puccini: Madama Butterfly - Highlights;225;"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker"
292;Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies;226;"Eugene Ormandy"
293;Pavarotti's Opera Made Easy;227;"Luciano Pavarotti"
294;Great Performances - Barber's Adagio and Other Romantic Favorites for Strings;228;"Leonard Bernstein & New York Philharmonic"
295;Carmina Burana;229;"Boston Symphony Orchestra & Seiji Ozawa"
296;A Copland Celebration, Vol. I;230;"Aaron Copland & London Symphony Orchestra"
297;Bach: Toccata & Fugue in D Minor;231;"Ton Koopman"
298;Prokofiev: Symphony No.1;232;"Sergei Prokofiev & Yuri Temirkanov"
299;Scheherazade;233;"Chicago Symphony Orchestra & Fritz Reiner"
300;Bach: The Brandenburg Concertos;234;"Orchestra of The Age of Enlightenment"
301;Chopin: Piano Concertos Nos. 1 & 2;235;"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra"
302;Mascagni: Cavalleria Rusticana;236;"James Levine"
303;Sibelius: Finlandia;237;"Berliner Philharmoniker & Hans Rosbaud"
304;Beethoven Piano Sonatas: Moonlight & Pastorale;238;"Maurizio Pollini"
305;Great Recordings of the Century - Mahler: Das Lied von der Erde;240;"Gustav Mahler"
306;Elgar: Cello Concerto & Vaughan Williams: Fantasias;241;"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos"
307;Adams, John: The Chairman Dances;242;"Edo de Waart & San Francisco Symphony"
308;Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory;243;"Antal Doráti & London Symphony Orchestra"
309;Palestrina: Missa Papae Marcelli & Allegri: Miserere;244;"Choir Of Westminster Abbey & Simon Preston"
310;Prokofiev: Romeo & Juliet;245;"Michael Tilson Thomas & San Francisco Symphony"
311;Strauss: Waltzes;226;"Eugene Ormandy"
312;Berlioz: Symphonie Fantastique;245;"Michael Tilson Thomas & San Francisco Symphony"
313;Bizet: Carmen Highlights;246;"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker"
314;English Renaissance;247;"The King's Singers"
315;Handel: Music for the Royal Fireworks (Original Version 1749);208;"English Concert & Trevor Pinnock"
316;Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande;248;"Berliner Philharmoniker & Herbert Von Karajan"
317;Mozart Gala: Famous Arias;249;"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker"
318;SCRIABIN: Vers la flamme;250;"Christopher O'Riley"
319;Armada: Music from the Courts of England and Spain;251;"Fretwork"
320;Mozart: Symphonies Nos. 40 & 41;248;"Berliner Philharmoniker & Herbert Von Karajan"
321;Back to Black;252;"Amy Winehouse"
322;Frank;252;"Amy Winehouse"
323;Carried to Dust (Bonus Track Version);253;"Calexico"
324;Beethoven: Symphony No. 6 'Pastoral' Etc.;254;"Otto Klemperer & Philharmonia Orchestra"
325;Bartok: Violin & Viola Concertos;255;"Yehudi Menuhin"
326;Mendelssohn: A Midsummer Night's Dream;256;"Philharmonia Orchestra & Sir Neville Marriner"
327;Bach: Orchestral Suites Nos. 1 - 4;257;"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart"
328;Charpentier: Divertissements, Airs & Concerts;258;"Les Arts Florissants & William Christie"
329;South American Getaway;259;"The 12 Cellists of The Berlin Philharmonic"
330;Górecki: Symphony No. 3;260;"Adrian Leaper & Doreen de Feis"
331;Purcell: The Fairy Queen;261;"Roger Norrington, London Classical Players"
332;The Ultimate Relexation Album;262;"Charles Dutoit & L'Orchestre Symphonique de Montréal"
333;Purcell: Music for the Queen Mary;263;"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir"
334;Weill: The Seven Deadly Sins;264;"Kent Nagano and Orchestre de l'Opéra de Lyon"
335;J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro;265;"Julian Bream"
336;Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps;248;"Berliner Philharmoniker & Herbert Von Karajan"
337;Szymanowski: Piano Works, Vol. 1;266;"Martin Roscoe"
338;Nielsen: The Six Symphonies;267;"Göteborgs Symfoniker & Neeme Järvi"
339;Great Recordings of the Century: Paganini's 24 Caprices;268;"Itzhak Perlman"
340;Liszt - 12 Études D'Execution Transcendante;269;"Michele Campanella"
341;Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder;270;"Gerald Moore"
342;Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3;271;"Mela Tenenbaum, Pro Musica Prague & Richard Kapp"
343;Respighi:Pines of Rome;226;"Eugene Ormandy"
344;Schubert: The Late String Quartets & String Quintet (3 CD's);272;"Emerson String Quartet"
345;Monteverdi: L'Orfeo;273;"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu"
346;Mozart: Chamber Music;274;"Nash Ensemble"
347;Koyaanisqatsi (Soundtrack from the Motion Picture);275;"Philip Glass Ensemble"
